z	P	S_w	S_n	Q_w	Q_n
0.99	-4296.5589619	0.6	0.0	0.0	0.0
0.97	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.95	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.93	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.91	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.89	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.87	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.85	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.83	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.81	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.79	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.77	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.75	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.73	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.71	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.69	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.67	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.65	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.63	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.61	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.59	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.57	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.55	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.53	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.51	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.49	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.47	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.45	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.43	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.41	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.39	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.37	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.35	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.33	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.31	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.29	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.27	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.25	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.23	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.21	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.19	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.17	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.15	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.13	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.11	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.09	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.07	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.05	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.03	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
0.01	-4296.5589619	0.6	0.0	4.27272762472e-07	0.0
